TerminalID,ProjectID,ComboID,Wiki,Name,Facility,Country,Status,OtherNames,Parent,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityInMtpa,Region,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,FID,FIDYear,Floating
T0528,0,T052800,https://www.gem.wiki/El_Musel_LNG_Terminal,El Musel LNG Terminal,Import,Spain,Idle,,Enag�s,2012,,,,5.4,mtpa,5.4,Europe,Gijon,,Asturias,43.5696,-5.6934,exact,FID,,
T0530,0,T053000,https://www.gem.wiki/Gran_Canaria_LNG_Terminal,Gran Canaria LNG Terminal,Import,Spain,Proposed,,Enag�s,2029,,,,1,mtpa,1,Europe,Puerto de Arinaga,Gran Canaria,Las Palmas,27.851956,-15.401621,approximate,FID,,
T0532,0,T053200,https://www.gem.wiki/Huelva_LNG_Terminal,Huelva LNG Terminal,Import,Spain,Operating,,Enag�s,1988,,,,8.7,mtpa,8.7,Europe,Huelva,,Andalusia,37.17355,-6.911,exact,,,
T0534,0,T053400,https://www.gem.wiki/Mugardos_LNG_Terminal,Mugardos LNG Terminal,Import,Spain,Operating,Reganosa Ferrol,Tojeiro Group (51%); Sojitz (15%); Sonatrach (10%); Government of Galician (24%),2007,,,,2.6,mtpa,2.6,Europe,Mugardos,La Coruna,Galicia,43.4613,-8.2395,exact,,,
T0534,1,T053401,https://www.gem.wiki/Mugardos_LNG_Terminal,Mugardos LNG Terminal Expansion,Import,Spain,Proposed,Reganosa Ferrol,Tojeiro Group (51%); Sojitz (15%); Sonatrach (10%); Government of Galician (24%),2024,,,,3.6,bcm/y,2.647059071,Europe,Mugardos,La Coruna,Galicia,43.4613,-8.2395,exact,Pre-FID,,
T0536,0,T053600,https://www.gem.wiki/Sagunto_LNG_Terminal,Sagunto LNG Terminal,Import,Spain,Operating,Saggas,Enag�s (7.5%); Osaka Gas (20%); Oman Oil Company (7.5%),2006,,,,6.4,mtpa,6.4,Europe,Sagunto Port,,Valencia,39.6329,-0.2152,exact,,,
T0537,0,T053700,https://www.gem.wiki/Tenerife_LNG_Terminal,Tenerife LNG Terminal,Import,Spain,Cancelled,,Enel,,,,presumed,1,mtpa,1,Europe,Granadilla de Abona,,Santa Cruz de Tenerife,28.116667,-16.566667,approximate,FID,,
T0539,0,T053900,https://www.gem.wiki/Brunnsviksholme_LNG_Terminal,Brunnsviksholme LNG Terminal,Import,Sweden,Operating,Nyn�shamn,AGA Gas,2011,,,,0.4,mtpa,0.4,Europe,"Brunnsviksholme, Nyn�shamn Municipality, Stockholm County",,,58.922139,17.976153,exact,,,
T0541,0,T054100,https://www.gem.wiki/Etki_FLNG_Terminal,Etki FLNG Terminal,Import,Turkey,Operating,Neptune LNG Terminal,Pardus Energy,2016,,,,5.7,mtpa,5.7,Europe,Izmir,Aliaga,Aegean,38.422,27.129,approximate,FID,,yes
T0543,0,T054300,https://www.gem.wiki/Izmir_Aliaga_LNG_Terminal,Izmir Aliaga LNG Terminal,Import,Turkey,Operating,,EgeGaz (100%),2006,,,,10.7,mtpa,10.7,Europe,Aliaga,Aliaga,Izmir,38.795,26.970278,approximate,,,
T0545,0,T054500,https://www.gem.wiki/Marmara_LNG_Terminal,Marmara LNG Terminal,Import,Turkey,Operating,,BOTA? (100%),1994,,,,4.6,mtpa,4.6,Europe,Marmara Ereglisi,Marmara Ereglisi,Tekirdag,40.969722,27.955278,approximate,,,
T0547,0,T054700,https://www.gem.wiki/Canatxx_LNG_Terminal,Canatxx LNG Terminal,Import,United Kingdom,Cancelled,,Canatxx LNG Limited,,,,,10,mtpa,10,Europe,Anglesey,,Wales,53.283333,-4.333333,approximate,,,
T0549,0,T054900,https://www.gem.wiki/Canvey_LNG_Terminal,Canvey LNG Terminal,Import,United Kingdom,Cancelled,,Calor; Osaka Gas; Sojitz; Sumitomo Group,,,,,4,mtpa,4,Europe,"Thames Road, Canvey Island",Essex,East region,51.516,0.583,approximate,,,
T0551,0,T055100,https://www.gem.wiki/Dragon_LNG_Terminal,Dragon LNG Terminal,Import,United Kingdom,Operating,,Shell plc (50%); Ancala Partners (50%),2009,,,,5.6,mtpa,5.6,Europe,Waterston,"Milford Haven, Pembrokeshire",Wales,51.70453,-4.99774,exact,,,
T0553,0,T055300,https://www.gem.wiki/Grain_LNG_Terminal,Grain LNG Terminal,Import,United Kingdom,Operating,,National Grid (100%),2005,,,,14.3,mtpa,14.3,Europe,Isle of Grain,,Kent,51.45107,0.67987,exact,,,
T0553,1,T055301,https://www.gem.wiki/Grain_LNG_Terminal,Grain LNG Terminal Expansion,Import,United Kingdom,Cancelled,,National Grid,,,,,6,mtpa,6,Europe,Isle of Grain,,Kent,51.45107,0.67987,exact,,,
T0555,0,T055500,https://www.gem.wiki/Port_Meridian_FLNG_Terminal,Port Meridian FLNG Terminal,Import,United Kingdom,Cancelled,,InfraStrata,2024,,,,6,mtpa,6,Europe,Fylde,Lancashire,North West,53.837,-2.861,approximate,Pre-FID,,yes
T0557,0,T055700,https://www.gem.wiki/South_Hook_LNG_Terminal,South Hook LNG Terminal,Import,United Kingdom,Operating,,Qatar Petroleum (8.35%); ExxonMobil (.%); Total S.A. (8.35%),2009,,,,15.6,mtpa,15.6,Europe,Milford Haven,Pembrokeshire,Wales,51.7152,-5.07627,exact,,,
