Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,GEM Unit ID,Government unit ID,Wiki URL
Clair Phase 1,,oil and gas,field,United Kingdom,,60.6757,-2.5593,exact,operating,2019,1977,2005,BP Exploration Operating Company,BP [45.1%]; ConocoPhillips [7.5%]; Ithaca Energy [19.4%]; Shell UK Limited [28%],BP P.L.C. [45.1%]; ConocoPhillips [7.5%]; Delek Group Limited [19.4%]; Royal Dutch Shell [28%],,,Clair,OG0001949,,https://www.gem.wiki/Clair_Phase_1_Oil_and_Gas_Field_(United_Kingdom)
Clair Phase 2 (Clair Ridge),,oil and gas,field,United Kingdom,,60.6757,-2.5593,exact,operating,2019,1977,,BP Exploration Operating Company,BP [28.6%]; Royal Dutch Shell [28%]; ConocoPhillips [24%]; Chevron [19.4%],BP P.L.C. [28.6%]; Royal Dutch Shell [28%]; ConocoPhillips [24%]; Chevron Corporation [19.4%],,,Clair,OG0001950,,https://www.gem.wiki/Clair_Phase_2_(Clair_Ridge)_Oil_and_Gas_Field_(United_Kingdom)
Claymore,,oil and gas,field,United Kingdom,,58.4605,-0.2551,exact,operating,2019,1974,1977,Repsol Sinopec Resources UK Limited,,,,,,OG0001952,,https://www.gem.wiki/Claymore_Oil_and_Gas_Field_(United_Kingdom)
Clipper North,,oil and gas,field,United Kingdom,,53.4558,1.7233,exact,operating,2019,1983,1990,Royal Dutch Shell,,,,,,OG0001954,,https://www.gem.wiki/Clipper_North_Oil_and_Gas_Field_(United_Kingdom)
Clipper South,,oil and gas,field,United Kingdom,,53.4129,1.7574,exact,operating,2019,1983,2012,INEOS Industries,INEOS Oil and Gas UK [100%],INEOS [100%],,,,OG0001955,,https://www.gem.wiki/Clipper_South_Oil_and_Gas_Field_(United_Kingdom)
Columba B/D,,oil and gas,field,United Kingdom,,60.8364,1.4398,exact,operating,2019,,,CNR International,,,,,,OG0001958,,https://www.gem.wiki/Columba_BD_Oil_and_Gas_Field_(United_Kingdom)
Columbus,,oil and gas,field,United Kingdom,,,,,in development,2021,,2021 (expected),Serica Energy PLC,Serica Energy PLC [50%]; Waldorf Production UK Ltd. [25%]; Tailwind Energy [25%],Serica Energy PLC [50%]; Waldorf Production UK Ltd. [25%]; Tailwind Energy Ltd [25%],,,,OG0013115,,https://www.gem.wiki/Columbus_Oil_and_Gas_Field_(United_Kingdom)
Conwy,,oil and gas,field,United Kingdom,,53.6267,-3.6719,exact,operating,2019,2009,2016,Tailwind Energy,,,,,,OG0001961,,https://www.gem.wiki/Conwy_Oil_and_Gas_Field_(United_Kingdom)
Cook,,oil and gas,field,United Kingdom,,57.362,0.821,exact,operating,2019,1983,2000,Ithaca Energy,,,,,,OG0001962,,https://www.gem.wiki/Cook_Oil_and_Gas_Field_(United_Kingdom)
Cormorant North,,oil and gas,field,United Kingdom,,61.1953,1.1375,exact,operating,2019,1974,1982,TAQA Europa B.V.,,,,,,OG0001964,,https://www.gem.wiki/Cormorant_North_Oil_and_Gas_Field_(United_Kingdom)
Crathes,,oil and gas,field,United Kingdom,,57.5833,0.3945,exact,operating,2019,2011,2016,Enquest PLC,,,,,,OG0001967,,https://www.gem.wiki/Crathes_Oil_and_Gas_Field_(United_Kingdom)
Culzean,,oil and gas,field,United Kingdom,,57.1859,1.907,exact,operating,2019,2008,2019,TotalEnergies,TotalEnergies [50%]; BP [32%]; JX Nippon [18%],TotalEnergies [50%]; BP P.L.C. [32%]; ENEOS Group [18%],,,,OG0001969,,https://www.gem.wiki/Culzean_Oil_and_Gas_Field_(United_Kingdom)
Cutter,,oil and gas,field,United Kingdom,,53.7053,2.6326,exact,operating,2019,1994,2006,Royal Dutch Shell,,,,,,OG0001972,,https://www.gem.wiki/Cutter_Oil_and_Gas_Field_(United_Kingdom)
Cygnus,,oil and gas,field,United Kingdom,,54.5705,2.225,exact,operating,2019,1988,2016,Neptune Energy,Neptune Energy [38.8%]; Spirit Energy [61.3%],China Investment Corporation [19%]; The Carlyle Group [11.9%]; CVC Capital Partners [7.9%]; Centrica PLC [61.3%],,,,OG0001973,,https://www.gem.wiki/Cygnus_Oil_and_Gas_Field_(United_Kingdom)
Devenick,,oil and gas,field,United Kingdom,,59.1743,1.6309,exact,operating,2019,1983,2012,TAQA Europa B.V.,,,,,,OG0001979,,https://www.gem.wiki/Devenick_Oil_and_Gas_Field_(United_Kingdom)
Don South West,,oil and gas,field,United Kingdom,,61.4682,1.5394,exact,operating,2019,1980,2009,Enquest PLC,,,,,,OG0001982,,https://www.gem.wiki/Don_South_West_Oil_and_Gas_Field_(United_Kingdom)
Douglas,,oil and gas,field,United Kingdom,,53.5336,-3.5682,exact,operating,2019,1990,1996,Eni UK Limited,,,,,,OG0001984,,https://www.gem.wiki/Douglas_Oil_and_Gas_Field_(United_Kingdom)
Dunbar,,oil and gas,field,United Kingdom,,60.6071,1.6554,exact,operating,2019,1973,1994,Total Upstream UK Limited,,,,,,OG0001989,,https://www.gem.wiki/Dunbar_Oil_and_Gas_Field_(United_Kingdom)
East Brae,,oil and gas,field,United Kingdom,,58.8759,1.5451,exact,operating,2019,1980,1993,Rockrose Energy,,,,,Brae,OG0001991,,https://www.gem.wiki/East_Brae_Oil_and_Gas_Field_(United_Kingdom)
Edradour,,oil and gas,field,United Kingdom,,60.9383,-2.2322,exact,operating,2019,2011,2017,Total Upstream UK Limited,TotalEnergies E&P UK [60%]; DONG E&P UK Limited [20%]; SSE E&P UK Limited [20%],TotalEnergies [60%]; INEOS [20%]; SSE PLC [20%],,,,OG0001994,,https://www.gem.wiki/Edradour_Oil_and_Gas_Field_(United_Kingdom)
Elgin,,oil and gas,field,United Kingdom,,57.0019,1.8479,exact,operating,2019,1991,2001,,,,,,Elgin-Franklin,OG0001997,,https://www.gem.wiki/Elgin_Oil_and_Gas_Field_(United_Kingdom)
Ellon,,oil and gas,field,United Kingdom,,60.6079,1.8159,exact,operating,2019,1973,1994,Total Upstream UK Limited,,,,,,OG0001999,,https://www.gem.wiki/Ellon_Oil_and_Gas_Field_(United_Kingdom)
Enochdhu,,oil and gas,field,United Kingdom,,57.9784,0.8611,exact,operating,2019,2005,2015,Chrysaor Holdings Limited,,,,,,OG0002002,,https://www.gem.wiki/Enochdhu_Oil_and_Gas_Field_(United_Kingdom)
