ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,PipelineName,SegmentName,OtherNames,Parent,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityBcm/y,LengthKnownKm,LengthEstimateKm,LengthMergedKm,Diameter,DiameterUnits,Source,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,EndPrefecture/District,EndState/Province,EndRegion,FID,FIDYear,WKTFormat
P2812,Gas,Italy,Italy,Italy,https://gem.wiki/Campochiaro�Melizzano_Gas_Pipeline,Campochiaro�Melizzano Gas Pipeline,,Campochiaro_Melizzano,Snam,Operating,,,,,,,--,--,35.13015693,35.13015693,47.9921519,in,,Melizzano,,,Europe,Campochiaro,,,Europe,,,"LINESTRING(14.5086 41.4474, 14.5062 41.3911, 14.5349 41.3732, 14.5504 41.36, 14.5624 41.3313, 14.5648 41.3146, 14.566 41.3014, 14.5684 41.2883, 14.5672 41.2643, 14.566 41.2488, 14.56 41.2261, 14.5492 41.2058, 14.5373 41.1914, 14.5217 41.1699, 14.5158 41.1675, 14.5052 41.1618)"
P2813,Gas,France,France,France,https://gem.wiki/Captiex�Auros_Gas_Pipeline,Captiex�Auros Gas Pipeline,,Captiex_Auros,GRTgaz,Operating,,,,,,,--,--,160.388409,160.388409,,,,Captiex,,,Europe,Auros,,,Europe,,,"LINESTRING(-0.2617 44.2915, -0.2037 44.4315, -0.0753 44.6829, -0.0153 44.7149, 0.2286 45.2648, 0.2236 45.3255, 0.2541 45.3577, 0.367 45.6471)"
P2814,Gas,Ireland,Ireland,Ireland,https://gem.wiki/Carlow�Loughshinny_Gas_Pipeline,Carlow�Loughshinny Gas Pipeline,,Carlow_Loughshinny,Ervia,Operating,,,,,,,--,--,97.89052304,97.89052304,,,,Carlow,,,Europe,Loughshinny,,,Europe,,,"LINESTRING(-6.93 52.83, -6.084 53.548)"
P2815,Gas,Spain,Spain,Spain,https://gem.wiki/Castelnou�Alfarras_Gas_Pipeline,Castelnou�Alfarras Gas Pipeline,,Castelnou_Alfarras,Enag�s,Operating,,,,,,,--,--,99.00380659,99.00380659,,,,Castelnou,,,Europe,Alfarras,,,Europe,,,"LINESTRING(0.56920047 41.82899945, -0.29284956 41.21668778)"
P2816,Gas,Italy,Italy,Italy,https://gem.wiki/Cavarzere�RavennaTerra_Gas_Pipeline,Cavarzere�RavennaTerra Gas Pipeline,,Cavarzere_RavennaTerra,Snam,Operating,,,,,,,--,--,86.46386326,86.46386326,22.00001188,in,,Ravenna Terra,,,Europe,Cavarzere,,,Europe,,,"LINESTRING(12.0802 45.1337, 12.1064 45.0406, 12.109 45.0208, 12.1248 44.9931, 12.1327 44.9654, 12.1261 44.9192, 12.1182 44.8743, 12.1156 44.8361, 12.1143 44.8005, 12.1064 44.7767, 12.0984 44.7385, 12.0932 44.7081, 12.0905 44.6501, 12.0932 44.6224, 12.1314 44.5604, 12.1815 44.5103, 12.2132 44.4826, 12.2422 44.4707, 12.3065 44.4167)"
P2817,Gas,Italy,Italy,Italy,https://gem.wiki/Cervignano�Ripalta_Gas_Pipeline,Cervignano�Ripalta Gas Pipeline,,Cervignano_Ripalta,Snam,Operating,,,,,,,--,--,22.62128604,22.62128604,47.9921519,in,,Ripalta,,,Europe,Cervignano,,,Europe,,,"LINESTRING(9.4249 45.3722, 9.7007 45.3122)"
P2818,Gas,Italy,Italy,Italy,https://gem.wiki/Cervignano�Sergnano_Gas_Pipeline,Cervignano�Sergnano Gas Pipeline,,Cervignano_Sergnano,Snam,Operating,,,,,,,--,--,21.43505863,21.43505863,30.0000162,in,,Sergnano,,,Europe,Cervignano,,,Europe,,,"LINESTRING(9.4249 45.3721, 9.69 45.4202)"
P2819,Gas,Italy,Italy,Italy,https://gem.wiki/Cervignano�Settala_Gas_Pipeline,Cervignano�Settala Gas Pipeline,,Mortara_Cervignano_1,Snam,Operating,,,,,,,--,--,55.7889951,55.7889951,30.0000162,in,,Cervignano,,,Europe,Mortara,,,Europe,,,"LINESTRING(8.7375 45.2522, 8.8606 45.274, 8.9808 45.2963, 9.0656 45.3103, 9.1327 45.314, 9.2148 45.328, 9.3266 45.3476, 9.4012 45.3597, 9.4249 45.3722)"
P2820,Gas,France,France,France,https://gem.wiki/Chazelles�Brizambourg_Gas_Pipeline,Chazelles�Brizambourg Gas Pipeline,,Chazelles_Brizambourg,GRTgaz,Operating,,,,,,,--,--,71.90992583,71.90992583,,,,Chazelles,,,Europe,Brizambourg,,,Europe,,,"LINESTRING(0.367 45.6471, 0.3224 45.644, 0.2837 45.644, 0.2721 45.6494, 0.245 45.6683, 0.214 45.6981, 0.1675 45.6792, -0.0183 45.7333, -0.179 45.7496, -0.4798 45.8222)"
P2821,Gas,France,France,France,https://gem.wiki/Chazelles�Roussines_Gas_Pipeline,Chazelles�Roussines Gas Pipeline,,Chazelles_Roussines,GRTgaz,Operating,,,,,,,--,--,121.6804912,121.6804912,,,,Chazelles,,,Europe,Roussines,,,Europe,,,"LINESTRING(0.367 45.6471, 0.5057 45.7323, 0.6363 45.885, 0.7135 45.9866, 0.7627 46.0363, 0.8202 46.083, 0.8918 46.1268, 0.941 46.1833, 1.014 46.2386, 1.1164 46.3095, 1.1768 46.356, 1.3383 46.4577, 1.38 46.463)"
