ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,PipelineName,SegmentName,OtherNames,Parent,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,CapacityUnits,CapacityBcm/y,LengthKnownKm,LengthEstimateKm,LengthMergedKm,Diameter,DiameterUnits,Source,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,EndPrefecture/District,EndState/Province,EndRegion,FID,FIDYear,WKTFormat
P0695,Gas,Poland,Lithuania,"Poland, Lithuania",https://www.gem.wiki/Gas_Interconnection_Poland-Lithuania_(GIPL),Gas Interconnection Poland-Lithuania,,GIPL,EPSO-G; Gaz-System,Construction,2022,,,,2.4,bcm/y,2.4,508,433.2187165,508,28,in,,Wysokoje,,,Europe,Jauni?nai,,Vilnius County,Europe,FID,,"LINESTRING(23.0111 52.2795, 22.8572 52.4045, 22.7997 52.4656, 22.7458 52.5195, 22.6991 52.5698, 22.6452 52.6237, 22.5949 52.6848, 22.541 52.7351, 22.4727 52.7782, 22.4008 52.8214, 22.3289 52.8645, 22.2786 52.9004, 22.2714 52.9292, 22.2535 52.9831, 22.2319 53.0406, 22.1996 53.0873, 22.1744 53.1017, 22.0989 53.1448, 22.0307 53.1807, 22.0091 53.2382, 22.0127 53.3029, 22.0522 53.3317, 22.16 53.3712, 22.2319 53.4071, 22.426 53.5365, 22.4871 53.594, 22.5517 53.6479, 22.6272 53.6911, 22.7063 53.7378, 22.7207 53.7917, 22.735 53.8348, 22.8321 53.8995, 22.8931 53.9354, 22.9399 53.9714, 22.9291 53.9965, 22.9111 54.036, 22.9974 54.0828, 23.0692 54.1223, 23.1699 54.1618, 23.2453 54.169, 23.3958 54.1916, 23.4126 54.193, 23.4125 54.193, 23.4825 54.2003, 23.5876 54.2074, 23.6865 54.2102, 23.7894 54.2172, 23.8618 54.2269, 23.937 54.3035, 24.0358 54.4092, 24.0748 54.4691, 24.1193 54.522, 24.1207 54.5832, 24.1207 54.6361, 24.207 54.7363, 24.2414 54.7978, 24.2742 54.8141, 24.4189 54.7964, 24.5172 54.7827, 24.5923 54.821, 24.6579 54.8701, 24.7193 54.9125, 24.7958 54.9698, 24.9063 54.9885)"
P0696,Gas,Greece,Bulgaria,"Greece, Bulgaria",https://www.gem.wiki/Gas_Interconnector_Greece_-_Bulgaria_(IGB),Gas Interconnector Greece-Bulgaria (IGB),,"Interconnector Greece-Bulgaria (IGB) Gas Pipeline, Stara-Zagora-Komotini Pipeline",IGI Poseidon S.A. (50%); Bulgarian Energy Holding (50%),Construction,2022,2025,,,3,bcm/y,3,184,157.7917893,184,31.5,in,,Komotini,,Eastern Macedonia and Thrace,Europe,Stara Zagora,,Stara Zagora,Europe,FID,,"LINESTRING(25.707582 42.363137, 25.708003 42.336171, 25.691571 42.32016, 25.676402 42.305834, 25.675138 42.284345, 25.673453 42.263699, 25.670082 42.24516, 25.667975 42.224514, 25.669661 42.20429, 25.670925 42.184908, 25.671767 42.164683, 25.673031 42.143616, 25.674717 42.123391, 25.669239 42.102745, 25.665869 42.083363, 25.669239 42.063981, 25.662633 42.045689, 25.646261 42.028711, 25.637166 42.01052, 25.632922 41.989298, 25.629284 41.970501, 25.625039 41.949886, 25.621401 41.931089, 25.61655 41.914717, 25.609274 41.911079, 25.592903 41.900165, 25.574106 41.886219, 25.561979 41.868029, 25.549852 41.850445, 25.536512 41.832254, 25.511652 41.820127, 25.49043 41.810426, 25.467995 41.80133, 25.444348 41.789203, 25.435859 41.7698, 25.429795 41.750397, 25.43404 41.732207, 25.438284 41.710985, 25.439497 41.692794, 25.429189 41.672785, 25.426157 41.653988, 25.424944 41.634585, 25.425551 41.613969, 25.403722 41.601842, 25.3825 41.589109, 25.378536 41.569246, 25.371245 41.551018, 25.368815 41.527929, 25.367599 41.510309, 25.365169 41.488435, 25.363346 41.469599, 25.345118 41.452587, 25.348156 41.434359, 25.357878 41.415523, 25.362131 41.397295, 25.362739 41.379067, 25.363954 41.357801, 25.362131 41.33775, 25.378393 41.320596, 25.396382 41.305306, 25.41527 41.290016, 25.431459 41.275625, 25.441353 41.256737, 25.444051 41.23695, 25.44585 41.216264, 25.449447 41.196476, 25.440453 41.176689, 25.443151 41.156902, 25.450347 41.139813, 25.46024 41.120925, 25.467436 41.103837, 25.477329 41.081351, 25.480027 41.072357)"
P0697,Gas,Algeria,Italy,"Algeria, Italy",https://www.gem.wiki/GALSI_Pipeline,GALSI Pipeline,,Gasdotto Algeria�Sardegna Italia Gas Pipeline,Sonatrach (41.6%); Edison S.p.A. (20.8%); Enel (15.6%); Hera Group (10.4%); Government of Sardinia (10.4%),Shelved,2022,,,,8,bcm/y,8,861,780.9253979,861,"26, 48",in,,Hassi R'Mel,,Laghouat,Middle East and North Africa,Piombino,,Tuscany,Europe,,,"LINESTRING(10.6023 42.9568, 10.6027 42.8375, 10.6065 42.7834, 10.6065 42.7445, 10.5536 42.6886, 10.5552 42.6652, 10.5256 42.6171, 10.4821 42.5704, 10.4635 42.5207, 10.42 42.4679, 10.3679 42.427, 10.2808 42.3428, 10.2267 42.3007, 10.1996 42.2436, 10.0884 42.1865, 10.0373 42.1444, 10.0193 42.0813, 9.9742 41.9851, 9.9471 41.931, 9.9201 41.8649, 9.881 41.7777, 9.8569 41.7146, 9.8593 41.6517, 9.8854 41.4291, 9.8953 41.3244, 9.8887 41.2622, 9.8723 41.2033, 9.8462 41.1084, 9.8331 41.1018, 9.7873 41.056, 9.7349 41.0102, 9.6465 40.9284, 9.473 40.804, 9.4109 40.768, 9.3192 40.7418, 9.2799 40.7353, 9.221 40.696, 9.1621 40.6567, 9.0672 40.5847, 9.0116 40.5421, 8.9461 40.5127, 8.9265 40.4701, 8.8708 40.4211, 8.861 40.3065, 8.8545 40.2672, 8.7955 40.2312, 8.7988 40.1821, 8.8381 40.1527, 8.8741 40.1036, 8.8806 40.0414, 8.8806 39.9792, 8.8512 39.9465, 8.8217 39.8876, 8.789 39.7305, 8.7955 39.6683, 8.8283 39.6192, 8.8381 39.5112, 8.8577 39.4653, 8.8806 39.4097, 8.9036 39.3115, 8.7759 39.2395, 8.717 39.2133, 8.6515 39.2068, 8.5403 39.1511, 8.5075 39.1086, 8.5304 39.0464, 8.5926 38.9548, 8.5432 38.8886, 8.5004 38.8419, 8.4868 38.7893, 8.4829 38.7329, 8.4653 38.5058, 8.4575 38.3859, 8.4419 38.3416, 8.4236 38.2842, 8.4158 38.2269, 8.408 38.1226, 8.4027 38.06, 8.3949 38, 8.3715 37.8957, 8.3558 37.8358, 8.348 37.7784, 8.3428 37.6741, 8.3402 37.6115, 8.3392 37.5453, 8.3356 37.4498, 8.3243 37.3853, 8.2907 37.3348, 8.2261 37.2422, 8.2037 37.1889, 8.1504 37.0766, 8.1083 37.0374, 8.0634 36.9925, 8.0494 36.9532, 7.9457 36.8666, 7.9185 36.8351)"
P0698,Gas,Czechia,Germany,"Czech Republic, Germany",https://www.gem.wiki/Gazela_Pipeline,Gazela Pipeline,,,Net4Gas (100%),Operating,2013,,,,30,bcm/y,30,166,153.4765569,166,,,,Hora Svat� Kate?iny,,�st� nad Labem Region,Europe,Waidhaus,,Bavaria,Europe,,,"MULTILINESTRING((13.39 50.635, 13.441 50.5859), (12.5499 49.6634, 12.6802 49.7438, 12.7482 49.7721, 12.8066 49.7797, 12.8633 49.7702, 12.9217 49.7514, 13.0142 49.7589, 13.4048 49.9646, 13.4237 50.0702, 13.452 50.1269, 13.4331 50.1967, 13.4274 50.2589, 13.4821 50.3004, 13.5086 50.3344, 13.4991 50.3759, 13.4463 50.525, 13.441 50.5859))"
P0699,Gas,Romania,Bulgaria,"Romania, Bulgaria",https://www.gem.wiki/Giurgiu%E2%80%93Ruse_Gas_Pipeline,Giurgiu-Ruse Gas Pipeline,,,Bulgarian Energy Holding; Government of Romania,Operating,2016,,,,1.5,bcm/y,1.5,26,7.568326518,26,,,,,Giurgiu,Muntenia,Europe,Ruse,,Ruse,Europe,,,"LINESTRING(25.9511425 43.9040531, 25.9487605 43.8359591)"
P0700,Gas,Norway,Norway,Norway,https://www.gem.wiki/Haltenpipe_Gas_Pipeline,Haltenpipe Gas Pipeline,,,Petoro (57.81%); Equinor Energy AS (19.06%); ConocoPhillips Skandinavia AS (18.13%); V�r Energi AS (5%),Operating,1996,,,,2.2,bcm/y,2.2,250,251.1735077,250,16,in,Heidrun oil and gas field,,,Norwegian Sea,Europe,Tjeldbergodden,,M�re og Romsdal,Europe,,,"LINESTRING(7.3175 65.325833, 7.335532 65.297371, 7.344396 65.264816, 7.346742 65.260529, 7.369437 65.238113, 7.387291 65.222923, 7.402948 65.204468, 7.407982 65.196472, 7.4095 65.190407, 7.410666 65.141724, 7.412546 65.137024, 7.42819 65.108246, 7.429591 65.104362, 7.427206 65.06041, 7.427508 65.053474, 7.429522 65.049217, 7.440534 65.034241, 7.454178 65.008011, 7.47816 64.97805, 7.508934 64.948715, 7.550869 64.917389, 7.601845 64.8703, 7.701861 64.787735, 7.732416 64.767059, 7.753692 64.750679, 7.757826 64.746658, 7.767593 64.733803, 7.771535 64.729774, 7.872248 64.646172, 7.877476 64.63868, 7.882345 64.623566, 7.879899 64.56765, 7.888662 64.514938, 7.900439 64.488312, 7.92076 64.468536, 7.938182 64.457352, 7.957046 64.448891, 7.962851 64.445396, 7.976051 64.428513, 7.980409 64.424126, 7.986555 64.420166, 8.021005 64.402344, 8.024744 64.399269, 8.026998 64.39595, 8.027821 64.392052, 8.025846 64.386925, 8.012115 64.369202, 7.989356 64.34745, 7.977876 64.325386, 7.938539 64.278931, 7.93535 64.273773, 7.934533 64.270332, 7.934218 64.243698, 7.930622 64.21933, 7.927527 64.176285, 7.911888 64.119095, 7.903499 64.080299, 7.894323 64.066078, 7.893036 64.061829, 7.893768 64.058357, 7.900097 64.042816, 7.903451 64.03875, 7.912432 64.031075, 7.915315 64.025879, 7.913133 64.004623, 7.913363 63.999744, 7.928853 63.95401, 7.931947 63.882412, 7.933165 63.877693, 7.947326 63.844151, 7.950242 63.827011, 8.015805 63.731796, 8.018525 63.72168, 8.025651 63.685787, 8.024793 63.674866, 8.026239 63.670418, 8.029536 63.666767, 8.033959 63.663864, 8.066223 63.650352, 8.073523 63.645744, 8.076274 63.64246, 8.084327 63.628082, 8.090335 63.602364, 8.092408 63.598042, 8.096688 63.594021, 8.121877 63.575836, 8.139589 63.556816, 8.145407 63.552776, 8.170886 63.538845, 8.183463 63.529522, 8.205979 63.52243, 8.217121 63.513412, 8.222825 63.509861, 8.224143 63.506439, 8.221794 63.502693, 8.220973 63.499657, 8.224092 63.490555, 8.224132 63.488358, 8.227596 63.483467, 8.228003 63.477337, 8.226797 63.472942, 8.22299 63.469028, 8.21736 63.465031, 8.218605 63.45985, 8.215175 63.452553, 8.214173 63.447376, 8.218481 63.44162, 8.223385 63.438919, 8.225243 63.436909, 8.226092 63.434402, 8.224548 63.429253, 8.22586 63.426682, 8.229435 63.424099, 8.239384 63.419899, 8.241247 63.418365, 8.243613 63.413692, 8.251678 63.409321, 8.263588 63.40554, 8.276841 63.403973, 8.323453 63.402828, 8.36587 63.400276, 8.382181 63.401245, 8.427908 63.401913, 8.581714 63.423069, 8.606696 63.428795, 8.623056 63.429485, 8.636926 63.427555, 8.64624 63.424473, 8.651925 63.421478, 8.665208 63.410534, 8.665102 63.407822, 8.654947 63.394652)"
P0701,Gas,United Kingdom,Belgium,"United Kingdom, Belgium",https://www.gem.wiki/North_Sea_Interconnector_Gas_Pipeline,North Sea Interconnector Gas Pipeline,,Bacton to Zeebrugge Gas Pipeline,Fluxys (76%); Snam (24%),Operating,1998,,,,25.5,bcm/y,25.5,231.8,231.7868483,231.8,40,in,,Bacton Gas Terminal,,North Sea,Europe,"Port of Zeebrugge, Bruges",,Flanders,Europe,,,"LINESTRING(1.46983 52.85915, 1.48409 52.86313, 1.48933 52.86414, 1.49421 52.86469, 1.49861 52.86494, 1.50504 52.86478, 1.5103 52.86424, 1.51541 52.86332, 1.52918 52.85988, 1.53389 52.85836, 1.65339 52.81625, 1.65993 52.81451, 1.66555 52.81347, 1.66917 52.81312, 1.67961 52.81259, 1.74014 52.81023, 1.76808 52.80907, 1.77666 52.80857, 1.81164 52.80731, 1.84443 52.80581, 1.94828 52.80154, 1.96529 52.80072, 1.9691 52.80033, 1.97278 52.79963, 1.97917 52.79793, 1.98385 52.79619, 1.98941 52.79347, 1.993 52.79109, 1.99831 52.78656, 2.02818 52.75963, 2.03015 52.75736, 2.03254 52.75375, 2.0359 52.74993, 2.03945 52.74725, 2.04716 52.74265, 2.05055 52.74002, 2.05315 52.73773, 2.06797 52.72432, 2.07237 52.71969, 2.08064 52.71208, 2.12932 52.66807, 2.14051 52.65777, 2.14705 52.65201, 2.17399 52.6273, 2.18945 52.61339, 2.19918 52.60434, 2.2171 52.58827, 2.22631 52.57967, 2.22808 52.57762, 2.22936 52.57579, 2.23101 52.57252, 2.23168 52.57057, 2.26281 52.44595, 2.26393 52.44295, 2.26722 52.43666, 2.27278 52.42665, 2.27782 52.41699, 2.28073 52.41189, 2.30359 52.3697, 2.30596 52.36496, 2.30801 52.36155, 2.31779 52.34347, 2.39281 52.20413, 2.44509 52.1063, 2.44951 52.09826, 2.45431 52.089, 2.47786 52.04508, 2.49771 52.00757, 2.49862 52.00487, 2.49898 52.0029, 2.49911 52.00059, 2.49894 51.99817, 2.4831 51.91503, 2.48247 51.91286, 2.48154 51.91061, 2.47637 51.90006, 2.4756 51.89745, 2.47357 51.88461, 2.46739 51.84153, 2.46513 51.8269, 2.46438 51.82085, 2.46189 51.80426, 2.46185 51.8026, 2.46229 51.7993, 2.46337 51.79572, 2.46498 51.7928, 2.46644 51.79079, 2.46962 51.78747, 2.47154 51.78587, 2.47401 51.78413, 2.49883 51.76955, 2.50787 51.76407, 2.51663 51.75905, 2.52036 51.75736, 2.52414 51.75591, 2.5586 51.74487, 2.56468 51.74258, 2.59387 51.72923, 2.5996 51.72643, 2.60297 51.72431, 2.60487 51.72285, 2.60977 51.718, 2.61165 51.71639, 2.61492 51.71407, 2.61826 51.71226, 2.62768 51.70853, 2.65134 51.69978, 2.66355 51.69505, 2.66908 51.69228, 2.68092 51.68594, 2.7017 51.67746, 2.70658 51.67525, 2.71347 51.67112, 2.7269 51.66247, 2.73012 51.66074, 2.77056 51.64352, 2.77475 51.64186, 2.77829 51.64019, 2.78074 51.63874, 2.78294 51.63716, 2.78514 51.63529, 2.78714 51.63309, 2.78835 51.63138, 2.78928 51.62972, 2.79025 51.6276, 2.79108 51.62512, 2.79239 51.6226, 2.79347 51.62109, 2.79606 51.61819, 2.79792 51.61657, 2.79983 51.61526, 2.80721 51.61129, 2.81083 51.60971, 2.82237 51.6054, 2.82804 51.60258, 2.83419 51.59908, 2.83602 51.5982, 2.83975 51.59672, 2.84413 51.59529, 2.8484 51.59424, 2.8527 51.59363, 2.85586 51.59335, 2.86434 51.59304, 2.87042 51.5923, 2.87429 51.59151, 2.87833 51.5904, 2.88395 51.5883, 2.88911 51.58562, 2.90959 51.57295, 2.92752 51.56397, 2.95222 51.5531, 2.95637 51.55071, 2.96284 51.54603, 2.9671 51.54371, 2.97204 51.54178, 2.98098 51.53932, 2.98618 51.5374, 3.07278 51.49943, 3.0764 51.49763, 3.07965 51.49572, 3.0813 51.49456, 3.08384 51.49241, 3.08546 51.49081, 3.08669 51.48933, 3.08866 51.48647, 3.08968 51.48457, 3.09079 51.48107, 3.09287 51.46703, 3.09376 51.4637, 3.09389 51.46036, 3.10445 51.38916, 3.10522 51.3862, 3.10673 51.383, 3.108 51.38105, 3.10933 51.37937, 3.11096 51.37764, 3.113 51.37582, 3.17311 51.3305, 3.1766 51.32613)"
P0702,Gas,Albania,Croatia,"Albania, Montenegro, Croatia",https://www.gem.wiki/Ionian_Adriatic_Gas_Pipeline,Ionian Adriatic Gas Pipeline,,IAP,SOCAR (100%),Proposed,2025,,,,5,bcm/y,5,540,499.7718604,540,800,mm,,Fier,,Fier,Europe,Split,,Dalmatia,Europe,Pre-FID,,"LINESTRING(19.55983754757423 40.72641923184577, 19.542955 40.79275, 19.588832 40.882608, 19.630539 40.91294, 19.626747 41.057016, 19.641913 41.100618, 19.609685 41.17076, 19.685515 41.256069, 19.708264 41.278817, 19.71016 41.295879, 19.715847 41.312941, 19.729117 41.322419, 19.729117 41.341377, 19.731013 41.367917, 19.744283 41.379292, 19.744283 41.396353, 19.727221 41.419102, 19.666558 41.561283, 19.657079 41.631425, 19.657079 41.712942, 19.685515 41.733795, 19.662766 41.788771, 19.664662 41.822895, 19.648222 41.862423, 19.61669 41.860672, 19.569393 41.890452, 19.51684 41.916728, 19.450273 41.944756, 19.410933 41.978045, 19.365388 42.006073, 19.291814 42.023591, 19.244516 42.037605, 19.14817 42.055123, 19.135907 42.074392, 19.11839 42.074392, 19.050071 42.090158, 18.990511 42.111179, 18.892413 42.172491, 18.773293 42.249568, 18.773293 42.295114, 18.772871 42.320069, 18.772871 42.336848, 18.733212 42.387184, 18.696604 42.384133, 18.656945 42.39176, 18.624913 42.408539, 18.580678 42.426843, 18.50441 42.425318, 18.490682 42.440571, 18.449498 42.440571, 18.434244 42.47718, 18.397636 42.478705, 18.382382 42.481756, 18.35035 42.513788, 18.30764 42.530567, 18.205442 42.571751, 18.159682 42.564124, 18.101719 42.609885, 18.063585 42.670899, 18.020875 42.675475, 18.016299 42.692254, 17.982741 42.710558, 17.938506 42.721235, 17.877492 42.763945, 17.850036 42.800553, 17.71428 42.802079, 17.665469 42.809705, 17.607506 42.832586, 17.497681 42.870719, 17.374305 42.943435, 17.360671 42.988532, 17.36172 43.045165, 17.425694 43.092359, 17.376403 43.130114, 17.293551 43.165772, 17.24321 43.169967, 17.166651 43.194088, 17.106872 43.280086, 17.067019 43.304208, 17.033459 43.317842, 16.929632 43.380767, 16.887682 43.384962, 16.825805 43.399645, 16.810074 43.416425, 16.790147 43.42901, 16.741904 43.433205, 16.709393 43.446839, 16.676881 43.459424, 16.664296 43.469911, 16.643321 43.48774, 16.592981 43.52969, 16.543225 43.548365, 16.394771 43.598947)"
P0703,Gas,Germany,Germany,Germany,https://www.gem.wiki/JAGAL_Gas_Pipeline,JAGAL Gas Pipeline,,Jamal-Gas-Anbindungsleitung,BASF (50%); Gazprom (50%),Operating,1999,,,,24,bcm/y,24,338,284.0367655,338,,,,Lebus,M�rkisch-Oderland,Brandenburg,Europe,R�ckersdorf,Greiz,Th�ringen,Europe,,,"LINESTRING(14.474304 52.443468, 13.969300 52.457139, 13.259469 51.916511, 12.251705 51.703708, 12.232788 50.814433)"
P0704,Gas,Norway,United Kingdom,"Norway, United Kingdom",https://www.gem.wiki/Langeled_Gas_Pipeline,Langeled Gas Pipeline,,Britpipe,Petoro (46.7%); CapeOmega (26.32%); Sval Energi AS (15.55%); Silex Gas Norway AS (6.43%); Equinor Energy AS (5%),Operating,2006,,,,25.5,bcm/y,25.5,1166,1171.192779,1166,"42, 44",in,Ormen Lange Field,Nyhamna,,M�re og Romsdal,Europe,Easington,,Yorkshire and the Humber,Europe,,,"MULTILINESTRING((6.945771 62.851559, 6.960041 62.860676, 6.961082 62.864315, 6.958678 62.867645, 6.95358 62.870125, 6.923175 62.878532, 6.901035 62.890728, 6.888427 62.89576, 6.879606 62.898464, 6.868316 62.900085, 6.837357 62.901211, 6.795076 62.904686, 6.786408 62.906376, 6.778028 62.909691, 6.772308 62.91378, 6.76949 62.91869, 6.769591 62.922226, 6.773652 62.93309, 6.771636 62.94178, 6.768996 62.945023, 6.764813 62.948093, 6.75268 62.952873, 6.74383 62.954491, 6.73426 62.955124, 6.665407 62.954052, 6.64728 62.95285, 6.613935 62.954796, 6.552444 62.951694, 6.460855 62.934681, 6.43851 62.929611, 6.202215 62.892002, 6.172691 62.88641, 6.09798 62.86684, 5.84334 62.81007, 5.194442 62.653843, 5.180747 62.649685, 5.169758 62.644604, 5.162701 62.639874, 5.143222 62.623539, 4.980327 62.472721, 4.962389 62.458328, 4.949304 62.442013, 4.926114 62.424656, 4.901986 62.400303, 4.895624 62.395176, 4.884213 62.389099, 4.789546 62.350544, 4.661384 62.307137, 4.650886 62.302143, 4.642659 62.296291, 4.388541 62.057758, 4.346335 61.998402, 4.333716 61.973549, 4.314116 61.950298, 4.306672 61.938492, 4.297827 61.929447, 4.292017 61.919968, 4.286262 61.91264, 4.281702 61.908302, 4.265685 61.896152, 4.236561 61.878967, 4.206685 61.856289, 4.187588 61.838642, 4.182841 61.832779, 4.176067 61.821003, 4.163227 61.807232, 4.155684 61.796848, 4.148342 61.7826, 4.143511 61.75869, 4.140762 61.754025, 4.129513 61.739594, 4.123516 61.734005, 4.081138 61.70438, 4.016584 61.655685, 4.012731 61.651012, 4.006051 61.640064, 3.992606 61.626808, 3.986112 61.615391, 3.976322 61.591923, 3.972054 61.586182, 3.96453 61.578667, 3.631332 61.349152, 3.576933 61.309643, 3.495811 61.255337, 3.461498 61.23114, 3.44801 61.219082, 3.423421 61.202751, 3.411077 61.193607, 3.401223 61.183762, 3.398816 61.180176, 3.395542 61.172626, 3.391771 61.141399, 3.391496 61.131168, 3.393019 61.110283, 3.390413 61.091557, 3.39092 61.071014, 3.388007 61.052494, 3.388077 61.041595, 3.387026 61.031292, 3.387267 61.010094, 3.384492 60.970261, 3.386192 60.953495, 3.383558 60.927933, 3.3848 60.88868, 3.382955 60.876141, 3.38207 60.854507, 3.384426 60.839203, 3.384149 60.828377, 3.381945 60.813171, 3.383707 60.771492, 3.383973 60.74612, 3.380296 60.729855, 3.380505 60.708809, 3.379668 60.700016, 3.377618 60.690693, 3.378201 60.674835, 3.37706 60.661831, 3.373113 60.646389, 3.373265 60.62315, 3.372111 60.605511, 3.37096 60.600693, 3.361432 60.576515, 3.358227 60.563919, 3.354896 60.557858, 3.34697 60.548164, 3.325734 60.532074, 3.302372 60.516151, 3.284048 60.505451, 3.262671 60.489326, 3.231531 60.470638, 3.172184 60.4286, 3.125057 60.396969, 3.118301 60.390224, 3.081065 60.342583, 3.079314 60.337627, 3.033958 60.073318, 2.665947 59.240547, 2.290919 58.76001, 2.035964 58.438957, 2.031806 58.43504, 2.025512 58.431023, 1.91053 58.368561), (1.910531 58.368564, 1.880039 58.356698, 1.851763 58.341654, 1.842563 58.329508, 1.827011 58.317608, 1.818795 58.306158, 1.800899 58.292672, 1.788545 58.275608, 1.766583 58.2594, 1.751272 58.238125, 1.737486 58.227487, 1.620437 58.109525, 1.614175 58.102286, 1.611771 58.09576, 1.611838 58.085137, 1.601653 58.048054, 1.502957 57.84236, 1.40563 57.636968, 1.31955 57.516026, 1.295901 57.44405, 1.191199 57.22404, 1.188777 57.209483, 1.170066 57.046324, 1.170343 56.808108, 1.16962 56.803451, 1.167665 56.799346, 1.160548 56.789497, 1.113552 56.747872, 1.109251 56.742891, 0.93882 56.443513, 0.937693 56.437814, 0.938976 56.431699, 0.94197 56.42681, 0.957752 56.408876, 0.960008 56.402989, 0.959739 56.396715, 0.82673 55.973476, 0.704446 55.576059, 0.652101 55.059197, 0.5916 54.447381, 0.539981 54.329817, 0.397998 54.163389, 0.298413 53.960439, 0.275542 53.907521, 0.268078 53.894919, 0.19058 53.730352, 0.180991 53.716494, 0.172741 53.699183, 0.169262 53.694515, 0.164237 53.690242, 0.129835 53.671504, 0.123976 53.667121, 0.116031 53.659231))"
P0705,Gas,Lithuania,Latvia,"Lithuania, Latvia",https://www.gem.wiki/Lithuania-Latvia_Interconnection_Gas_Pipeline,Lithuania-Latvia Interconnection Gas Pipeline,,,The Ministry of Finance of the Republic of Lithuania; Gazprom; Marguerite Fund; Fortum; Rosneft,Operating,1962,,,,2.3,bcm/y,2.3,138,96.83169802,138,,,,Vilnius,,Vilnius,Europe,Riga,,Kurzeme Planning Region,Europe,,,"LINESTRING(24.416148 57.000717, 24.564463 56.959561, 24.092051 56.627140, 24.125010 56.270419)"
P0706,Gas,Germany,Germany,Germany,https://www.gem.wiki/MEGAL_Gas_Pipeline,MEGAL Gas Pipeline,,Mittel-Europ�ische-Gasleitung,Open Grid Europe (51%); GRTgaz (49%),Operating,1980,,,,22,bcm/y,22,1115,809.0083079,1115,"35, 47",in,,Waidhaus,,Bayern,Europe,Medelsheim,,Saarland,Europe,,,"MULTILINESTRING((12.319 49.6335, 12.2321 49.51, 12.2179 49.4331, 12.1097 49.3204), (12.1097 49.3204, 12.1723 49.2655, 12.3125 49.2245, 12.3395 49.2062, 12.4327 49.1052, 12.5251 49.0921, 12.6 49.0207, 12.7594 48.944), (13.7519 48.5544, 13.7218 48.5738), (7.22 49.11, 7.2953 49.1522, 7.3229 49.2074, 7.3903 49.2529, 7.5243 49.326, 7.567 49.3764), (12.319 49.633, 12.496 49.644), (11.6307 49.5845, 12.319 49.633), (10.9203 49.5286, 10.9561 49.5088, 11.0263 49.5082, 11.2851 49.5581, 11.6307 49.5845), (9.9484 49.842, 10.0204 49.8197, 10.0937 49.8164, 10.1353 49.7781, 10.2168 49.7648, 10.2867 49.7182, 10.5164 49.6499, 10.6645 49.5701, 10.8292 49.5701, 10.9203 49.5286), (8.5509 49.7437, 8.9349 49.7209, 9.1107 49.781, 9.3679 49.7751, 9.4529 49.8094, 9.6523 49.7987, 9.9483 49.8419), (7.567 49.3764, 7.7352 49.4487, 7.8061 49.452, 7.8292 49.4701, 7.8622 49.5328, 8.0073 49.5938, 8.2018 49.6878, 8.2909 49.7257, 8.3436 49.7471, 8.436 49.7488, 8.5509 49.7437), (8.5511 49.7437, 8.9349 49.7209, 9.1107 49.7811, 9.3683 49.7751, 9.4528 49.8095, 9.6507 49.7993, 9.9484 49.8419), (7.567 49.3764, 7.7355 49.449, 7.8059 49.4513, 7.8314 49.4674, 7.8614 49.5333, 8.3419 49.747, 8.4377 49.7493, 8.551 49.7437), (13.7215408943629 48.573429565895715, 12.759629 48.943860))"
